product_id,category,price
PROD1067,Sports,1221.16
PROD1068,Home,3161.5
PROD1069,Sports,3553.73
PROD1070,Electronics,3731.49
PROD1071,Beauty,1115.14
PROD1072,Clothing,4258.76
PROD1073,Electronics,2162.76
PROD1074,Beauty,1160.21
PROD1075,Clothing,2758.4
PROD1076,Clothing,4330.45
PROD1077,Beauty,4838.73
PROD1078,Sports,3766.22
PROD1079,Beauty,127.55
PROD1080,Beauty,760.03
PROD1081,Home,473.74
PROD1082,Clothing,595.95
PROD1083,Clothing,1976.87
PROD1084,Sports,1758.62
PROD1085,Sports,657.06
PROD1086,Home,4422.95
PROD1087,Home,3115.6
PROD1088,Home,4002.67
PROD1089,Sports,1920.59
PROD1090,Beauty,2110.16
PROD1091,Clothing,1656.34
PROD1092,Clothing,2248.29
PROD1093,Electronics,3090.85
PROD1094,Sports,2515.62
PROD1095,Sports,4205.79
PROD1096,Home,4510.68
PROD1097,Electronics,2401.45
PROD1098,Electronics,1274.77
PROD1099,Sports,4731.44
PROD1100,Home,3701.69
PROD1101,Clothing,3236.62
PROD1102,Home,3752.53
PROD1103,Clothing,472.31
PROD1104,Sports,431.37
PROD1105,Home,850.29
PROD1106,Electronics,822.51
PROD1107,Beauty,2161.29
PROD1108,Electronics,871.28
PROD1109,Clothing,4287.18
PROD1110,Sports,2932.67
PROD1111,Home,1904.48
PROD1112,Sports,441.15
PROD1113,Sports,2996.04
PROD1114,Clothing,671.01
PROD1115,Sports,3741.78
PROD1116,Home,4033.51
PROD1117,Electronics,2765.48
PROD1118,Sports,833.05
PROD1119,Home,3955.63
PROD1120,Home,1608.36
PROD1121,Clothing,1191.0
PROD1122,Sports,2405.73
PROD1123,Clothing,4620.97
PROD1124,Electronics,1557.13
PROD1125,Electronics,4537.33
PROD1126,Home,362.9
PROD1127,Sports,509.27
PROD1128,Home,3522.95
PROD1129,Sports,1033.9
PROD1130,Clothing,1651.44
PROD1131,Electronics,768.23
PROD1132,Electronics,1728.02
PROD1133,Clothing,1474.25
PROD1134,Beauty,3708.05
PROD1135,Beauty,3539.91
PROD1136,Beauty,4779.14
PROD1137,Sports,3649.67
PROD1138,Clothing,3504.61
PROD1139,Sports,3501.6
PROD1140,Sports,4426.54
PROD1141,Clothing,1551.56
PROD1142,Sports,1570.45
PROD1143,Clothing,3731.95
PROD1144,Beauty,1220.66
PROD1145,Beauty,4568.9
PROD1146,Sports,2720.43
PROD1147,Electronics,1570.61
PROD1148,Clothing,3902.89
PROD1149,Home,1630.37
PROD1150,Home,4820.06
PROD1151,Sports,4916.65
PROD1152,Electronics,3367.3
PROD1153,Clothing,656.81
PROD1154,Beauty,1389.72
PROD1155,Sports,2625.54
PROD1156,Clothing,4272.09
PROD1157,Clothing,1005.94
PROD1158,Clothing,611.58
PROD1159,Electronics,464.94
PROD1160,Clothing,2584.14
PROD1161,Electronics,4435.03
PROD1162,Electronics,307.56
PROD1163,Clothing,1140.38
PROD1164,Beauty,3496.96
PROD1165,Clothing,4146.73
PROD1166,Beauty,4056.26
PROD1167,Sports,3946.83
PROD1168,Home,736.02
PROD1169,Sports,2046.46
PROD1170,Electronics,4925.25
PROD1171,Sports,4945.55
PROD1172,Home,3051.89
PROD1173,Home,3575.41
PROD1174,Beauty,4761.29
PROD1175,Sports,2304.65
PROD1176,Electronics,770.65
PROD1177,Electronics,3377.85
PROD1178,Beauty,4804.5
PROD1179,Beauty,3516.31
PROD1180,Sports,4036.27
PROD1181,Beauty,2171.47
PROD1182,Home,572.67
PROD1183,Electronics,927.52
PROD1184,Home,4915.01
PROD1185,Clothing,2516.6
PROD1186,Home,158.9
PROD1187,Electronics,4781.3
PROD1188,Clothing,2539.12
PROD1189,Sports,4197.72
PROD1190,Clothing,2787.44
PROD1191,Beauty,598.34
PROD1192,Electronics,3116.29
PROD1193,Beauty,4987.26
PROD1194,Home,270.22
PROD1195,Sports,4224.79
PROD1196,Electronics,1253.86
PROD1197,Sports,2029.94
PROD1198,Electronics,1926.28
PROD1199,Beauty,4504.11
